Drug Name,Manufacturer,Dosage Form,Strength,Package Size,Units Sold,Revenue,Sale Date,Region,Sales Representative,Customer Type
Drug B,Company W,Injection,100 mg/ml,50 g,1140,$37493,01-09-2023,North America,Maria Proctor,Hospitals
Drug D,Company V,Cream,250 mg,10 ml,493,$37610,21-09-2023,Europe,John Fowler,Hospitals
Drug D,Company Y,Syrup,250 mg,10 ml,1358,$3735,09-07-2024,Europe,Jason Nelson,Clinics
Drug A,Company Z,Cream,500 mg,50 g,269,$43198,10-10-2023,Asia,Marvin Wu,Pharmacy
Drug B,Company X,Cream,250 mg,30,201,$24265,17-10-2023,Asia,Emily Singleton,Online Pharmacy
Drug E,Company Y,Cream,50 mg,30,1918,$16223,28-02-2024,Asia,Colin Lee,Hospitals
Drug D,Company W,Injection,100 mg/ml,60,1337,$12997,26-06-2024,Europe,Mathew Johnson,Supermarkets
Drug D,Company X,Syrup,100 mg/ml,100 ml,483,$25162,31-07-2023,Africa,Christopher Ramirez,Supermarkets
Drug A,Company Y,Injection,500 mg,50 g,105,$31985,17-07-2024,South America,Samuel Ortiz,Supermarkets
Drug E,Company V,Cream,50 mg,60,1760,$24924,27-11-2023,Europe,Megan Reese,Online Pharmacy
Drug A,Company X,Cream,10 mg,60,835,$35184,16-07-2024,North America,Rachel White,Supermarkets
Drug B,Company Y,Injection,50 mg,10 ml,122,$7349,19-01-2024,Europe,Michael Mclaughlin,Pharmacy
Drug C,Company Y,Syrup,250 mg,30,1415,$41330,05-05-2024,Europe,Paul Gibson,Pharmacy
Drug E,Company W,Tablet,100 mg/ml,50 g,1993,$5212,04-03-2024,Africa,Timothy Sanchez,Clinics
Drug E,Company X,Tablet,500 mg,50 g,958,$15537,03-05-2024,North America,Lori Smith,Clinics
Drug A,Company W,Injection,50 mg,10 ml,1616,$15777,10-08-2023,North America,Julie Carpenter,Clinics
Drug E,Company W,Syrup,100 mg/ml,50 g,922,$32819,24-01-2024,Europe,Barbara Baldwin,Pharmacy
Drug B,Company W,Cream,10 mg,30,580,$41566,23-06-2024,Africa,Jason Brooks,Hospitals
Drug B,Company X,Tablet,250 mg,100 ml,561,$42268,12-05-2024,Asia,Linda Brown,Supermarkets
Drug C,Company W,Capsule,50 mg,30,1709,$28361,04-05-2024,South America,Ernest Moyer,Pharmacy
Drug C,Company Y,Tablet,500 mg,50 g,1662,$43524,22-04-2024,Europe,Melissa Rodriguez,Pharmacy
Drug D,Company X,Syrup,500 mg,30,643,$42567,07-11-2023,South America,Austin Bowen,Hospitals
Drug A,Company X,Capsule,100 mg/ml,10 ml,1618,$11577,05-07-2024,North America,Nicholas French,Online Pharmacy
Drug B,Company W,Cream,500 mg,60,1616,$21763,15-07-2024,Europe,Lauren Jones,Clinics
Drug B,Company X,Injection,50 mg,60,1817,$36872,11-06-2024,North America,Sean Butler,Hospitals
Drug D,Company Z,Syrup,10 mg,100 ml,280,$29505,29-07-2023,North America,Michael Wiley,Supermarkets
Drug C,Company W,Cream,100 mg/ml,10 ml,519,$3961,01-10-2023,North America,James Lara,Online Pharmacy
Drug C,Company W,Capsule,250 mg,10 ml,1355,$9822,05-10-2023,Africa,Jessica Miller,Clinics
Drug D,Company V,Cream,500 mg,100 ml,1289,$40553,28-07-2024,Europe,Alvin Rios,Hospitals
Drug D,Company Y,Injection,10 mg,60,1578,$18160,03-12-2023,Asia,James Goodman,Pharmacy
Drug D,Company Z,Cream,10 mg,100 ml,854,$45168,16-05-2024,North America,Erica Adams,Pharmacy
Drug C,Company X,Injection,250 mg,30,1875,$19837,11-10-2023,South America,Amy Cruz,Clinics
Drug C,Company Z,Cream,250 mg,50 g,1105,$16306,03-04-2024,South America,Michael Clark,Pharmacy
Drug B,Company Z,Cream,50 mg,100 ml,503,$28974,01-04-2024,South America,Joyce Lopez,Pharmacy
Drug E,Company V,Syrup,50 mg,60,1354,$28539,21-06-2024,North America,Keith Allen,Clinics
Drug C,Company V,Tablet,10 mg,100 ml,1716,$40609,01-04-2024,Asia,Paige Watkins,Supermarkets
Drug B,Company V,Tablet,250 mg,50 g,1268,$38392,29-06-2024,North America,Matthew Jones,Pharmacy
Drug B,Company Z,Tablet,500 mg,60,716,$38994,04-02-2024,South America,Taylor Williams,Pharmacy
Drug E,Company W,Tablet,250 mg,50 g,1467,$18147,25-06-2024,Asia,Diane Beltran,Online Pharmacy
Drug B,Company X,Cream,250 mg,30,501,$8312,01-11-2023,Asia,Paul Espinoza,Supermarkets
Drug B,Company V,Cream,250 mg,30,1127,$29324,02-07-2024,North America,Laurie Price,Hospitals
Drug E,Company Y,Syrup,10 mg,10 ml,814,$22816,16-12-2023,Asia,John Thompson,Clinics
Drug D,Company W,Cream,10 mg,10 ml,1056,$4782,07-10-2023,Africa,Kara Dixon,Hospitals
Drug D,Company X,Injection,10 mg,50 g,130,$3639,27-12-2023,Africa,Jamie Jones,Hospitals
Drug D,Company W,Tablet,500 mg,50 g,760,$16495,30-03-2024,Asia,Alisha Johnson,Supermarkets
Drug E,Company X,Tablet,250 mg,10 ml,961,$47213,07-06-2024,Africa,Taylor Villa,Online Pharmacy
Drug D,Company X,Cream,100 mg/ml,10 ml,1410,$27514,31-10-2023,South America,Wesley Rodriguez,Pharmacy
Drug C,Company X,Tablet,50 mg,60,1446,$22233,30-11-2023,Europe,Lisa Cisneros,Supermarkets
Drug B,Company W,Syrup,500 mg,30,1694,$17518,12-01-2024,Africa,Michael Lawson,Hospitals
Drug C,Company Y,Capsule,10 mg,10 ml,1834,$5964,02-03-2024,South America,Christopher Huang,Pharmacy
Drug E,Company V,Capsule,250 mg,100 ml,737,$33901,04-07-2024,North America,Hector Silva,Hospitals
Drug A,Company V,Tablet,500 mg,100 ml,1027,$9819,22-05-2024,Europe,Mindy Garcia,Hospitals
Drug C,Company W,Tablet,500 mg,50 g,1000,$34947,18-10-2023,South America,Timothy Gray,Online Pharmacy
Drug B,Company V,Capsule,250 mg,60,1732,$43643,15-06-2024,Africa,Paul Gilbert,Clinics
Drug E,Company Z,Cream,250 mg,30,1686,$38320,11-01-2024,Europe,Raymond Diaz,Clinics
Drug C,Company Z,Tablet,50 mg,10 ml,1880,$13397,08-01-2024,South America,Kenneth Mack,Supermarkets
Drug C,Company V,Cream,10 mg,100 ml,363,$3071,15-03-2024,Asia,Michelle Ellis,Online Pharmacy
Drug E,Company W,Capsule,10 mg,10 ml,152,$27219,28-02-2024,North America,Steven Lewis,Hospitals
Drug D,Company X,Capsule,50 mg,50 g,1989,$39898,05-08-2023,Europe,Wendy Baker,Online Pharmacy
Drug C,Company Z,Cream,100 mg/ml,30,729,$17817,16-03-2024,North America,Elizabeth Weber,Pharmacy
Drug E,Company X,Injection,100 mg/ml,50 g,828,$3572,08-01-2024,North America,Mark Gilbert,Supermarkets
Drug E,Company Z,Cream,10 mg,60,984,$43213,31-07-2023,North America,Craig Reyes,Online Pharmacy
Drug E,Company Z,Syrup,10 mg,10 ml,1911,$40843,19-01-2024,Asia,Linda Miller,Supermarkets
Drug E,Company W,Cream,10 mg,30,846,$18094,02-05-2024,Asia,Michael Pena,Online Pharmacy
Drug D,Company X,Injection,10 mg,100 ml,415,$30785,24-05-2024,Africa,Dr. Guy Mcguire,Hospitals
Drug D,Company V,Cream,10 mg,100 ml,1507,$32408,02-02-2024,Asia,James Glenn,Clinics
Drug B,Company V,Injection,500 mg,50 g,889,$4285,06-05-2024,South America,Susan Holloway,Clinics
Drug A,Company V,Tablet,50 mg,30,983,$39307,26-01-2024,South America,Isaac Moore,Online Pharmacy
Drug E,Company Y,Syrup,100 mg/ml,60,743,$38388,04-07-2024,North America,Alison Santos DDS,Hospitals
Drug D,Company V,Capsule,250 mg,30,255,$27581,05-06-2024,South America,Michael Scott,Online Pharmacy
Drug D,Company Y,Syrup,50 mg,30,965,$12117,30-08-2023,Asia,Natasha Murray,Pharmacy
Drug E,Company X,Capsule,50 mg,10 ml,254,$2928,19-08-2023,North America,David Lee,Pharmacy
Drug E,Company V,Injection,100 mg/ml,60,1006,$35619,06-12-2023,South America,Miss Debbie Willis,Pharmacy
Drug E,Company X,Tablet,250 mg,10 ml,578,$21030,13-02-2024,North America,Briana Henry,Clinics
Drug E,Company W,Capsule,100 mg/ml,100 ml,1284,$40997,29-07-2023,North America,Jennifer Marsh,Online Pharmacy
Drug C,Company V,Capsule,10 mg,100 ml,1832,$22662,11-07-2024,Africa,Rachel Weaver,Supermarkets
Drug C,Company Z,Capsule,250 mg,60,698,$42700,30-08-2023,Europe,Michael Hodges,Pharmacy
Drug D,Company W,Injection,50 mg,100 ml,174,$28115,08-09-2023,Africa,James Taylor,Hospitals
Drug D,Company Z,Cream,250 mg,100 ml,247,$2564,30-04-2024,North America,Ms. Jamie Nunez DVM,Pharmacy
Drug B,Company V,Capsule,500 mg,10 ml,1585,$22796,22-04-2024,Europe,Catherine Li,Pharmacy
Drug E,Company Y,Tablet,50 mg,50 g,1212,$30821,05-02-2024,South America,Lauren Taylor,Supermarkets
Drug E,Company Y,Syrup,100 mg/ml,100 ml,1322,$41761,15-05-2024,South America,Daniel Moore,Pharmacy
Drug D,Company X,Cream,50 mg,60,1258,$22547,30-08-2023,Europe,Joseph Blair,Hospitals
Drug E,Company V,Cream,50 mg,10 ml,1589,$28938,24-11-2023,South America,William Foley,Hospitals
Drug B,Company V,Tablet,500 mg,10 ml,908,$44347,24-11-2023,Asia,Alexis Davis,Hospitals
Drug E,Company Y,Injection,100 mg/ml,60,888,$22714,04-01-2024,Asia,Nathan Contreras,Pharmacy
Drug B,Company Y,Cream,250 mg,60,1591,$6484,11-09-2023,Asia,Wendy Finley,Clinics
Drug B,Company Y,Syrup,50 mg,50 g,1266,$27371,05-12-2023,North America,Vanessa Wood,Clinics
Drug C,Company V,Capsule,10 mg,30,1335,$1534,07-07-2024,Europe,Laurie Gonzalez,Pharmacy
Drug D,Company Y,Tablet,10 mg,30,790,$9353,23-01-2024,Europe,Natalie Evans,Clinics
Drug C,Company W,Tablet,100 mg/ml,10 ml,408,$31302,24-02-2024,South America,Marissa Adams,Clinics
Drug A,Company W,Injection,250 mg,50 g,1613,$49778,24-11-2023,South America,Michael Mosley,Clinics
Drug B,Company V,Capsule,500 mg,50 g,1046,$41599,23-08-2023,South America,Michael Knight,Online Pharmacy
Drug A,Company W,Syrup,250 mg,60,769,$38634,08-05-2024,Asia,Ashley Johnson,Clinics
Drug D,Company Y,Tablet,250 mg,30,1661,$40534,01-01-2024,Europe,Christopher Clayton,Hospitals
Drug D,Company Z,Injection,50 mg,100 ml,1541,$36377,14-08-2023,South America,Tara Harris,Online Pharmacy
Drug C,Company Z,Injection,250 mg,50 g,286,$30863,09-09-2023,Europe,Roberto Bryant,Online Pharmacy
Drug C,Company X,Cream,100 mg/ml,100 ml,1432,$43247,21-06-2024,Africa,Janet Fritz,Supermarkets
Drug E,Company V,Tablet,500 mg,50 g,249,$21795,20-09-2023,Asia,Elizabeth Melendez,Hospitals
Drug B,Company W,Cream,10 mg,30,1441,$15841,11-08-2023,Africa,William Baker,Supermarkets
Drug B,Company X,Syrup,500 mg,30,1951,$18265,02-06-2024,Africa,Eugene Mccarthy MD,Hospitals
Drug B,Company Y,Cream,500 mg,100 ml,1017,$10342,02-07-2024,North America,Richard Day,Hospitals
Drug A,Company W,Syrup,250 mg,60,1287,$45058,08-02-2024,North America,Michael Freeman,Supermarkets
Drug B,Company Z,Tablet,10 mg,100 ml,1236,$48538,02-07-2024,South America,Dale Wright,Supermarkets
Drug E,Company Y,Capsule,10 mg,10 ml,1368,$6205,18-03-2024,North America,Stephanie Gutierrez,Online Pharmacy
Drug A,Company V,Capsule,100 mg/ml,100 ml,936,$10109,24-03-2024,Asia,Vincent Espinoza,Pharmacy
Drug C,Company V,Injection,500 mg,60,676,$37726,24-12-2023,Asia,Allen Cortez,Clinics
Drug E,Company Y,Injection,100 mg/ml,30,338,$11276,08-09-2023,Africa,Thomas Camacho,Supermarkets
Drug A,Company W,Capsule,500 mg,50 g,1131,$33794,30-01-2024,Asia,James Ryan,Supermarkets
Drug B,Company V,Cream,10 mg,100 ml,1415,$40903,29-07-2023,South America,Javier Gonzales DDS,Pharmacy
Drug C,Company Y,Capsule,250 mg,50 g,1737,$27260,19-01-2024,North America,Jessica Turner,Hospitals
Drug E,Company X,Syrup,50 mg,100 ml,689,$19199,06-02-2024,Africa,James Sanchez,Supermarkets
Drug D,Company W,Tablet,250 mg,30,961,$17111,02-01-2024,Europe,Christy Morgan,Clinics
Drug E,Company W,Tablet,250 mg,100 ml,523,$39012,29-02-2024,Africa,Lauren Gutierrez,Online Pharmacy
Drug C,Company W,Cream,100 mg/ml,100 ml,124,$17741,01-11-2023,North America,Jerry Fry,Hospitals
Drug B,Company Z,Injection,50 mg,100 ml,1579,$29112,10-10-2023,Asia,Lisa Powell,Online Pharmacy
Drug D,Company V,Injection,10 mg,30,465,$47839,10-03-2024,Europe,Gregory Wright,Pharmacy
Drug B,Company V,Tablet,500 mg,50 g,106,$16139,30-04-2024,Europe,Kenneth Torres,Clinics
Drug D,Company W,Cream,10 mg,100 ml,129,$33103,12-12-2023,Asia,Kathy Garza,Pharmacy
Drug C,Company V,Injection,100 mg/ml,30,179,$44121,07-09-2023,Asia,Ryan Taylor,Hospitals
Drug A,Company X,Capsule,500 mg,30,509,$10346,18-03-2024,Africa,Brenda Martin,Pharmacy
Drug A,Company Y,Injection,10 mg,60,1543,$28043,16-03-2024,South America,Robert Petersen,Supermarkets
Drug C,Company V,Cream,250 mg,100 ml,517,$39197,03-01-2024,South America,Gary Moon,Hospitals
Drug E,Company X,Syrup,50 mg,60,938,$27950,13-01-2024,Asia,Patricia Cowan,Clinics
Drug B,Company Z,Tablet,50 mg,60,1468,$33405,07-05-2024,Europe,Tina Hernandez,Pharmacy
Drug E,Company Z,Tablet,100 mg/ml,100 ml,1397,$14728,28-02-2024,Africa,Nathaniel Weiss,Online Pharmacy
Drug D,Company W,Cream,250 mg,10 ml,230,$44042,02-01-2024,North America,Timothy Frank,Online Pharmacy
Drug D,Company W,Tablet,100 mg/ml,60,498,$26954,27-08-2023,North America,William Allen,Online Pharmacy
Drug C,Company Z,Cream,50 mg,100 ml,1501,$49128,31-10-2023,South America,Corey Walsh,Supermarkets
Drug B,Company X,Syrup,50 mg,30,190,$40850,09-01-2024,Asia,April Parker,Supermarkets
Drug E,Company Y,Injection,10 mg,30,1984,$49839,03-12-2023,Europe,Sean Duncan,Clinics
Drug D,Company Y,Capsule,500 mg,50 g,1919,$29695,14-01-2024,South America,Brenda Bauer,Online Pharmacy
Drug B,Company Z,Capsule,500 mg,10 ml,655,$8141,15-06-2024,Asia,Austin Wright,Pharmacy
Drug D,Company W,Cream,100 mg/ml,30,935,$46285,21-09-2023,Asia,Amy Mitchell,Supermarkets
Drug E,Company W,Cream,50 mg,30,1565,$13345,10-01-2024,Africa,Michael Sanchez,Online Pharmacy
Drug B,Company Y,Tablet,100 mg/ml,50 g,769,$24713,27-08-2023,Europe,Mrs. Hayley Hunter MD,Supermarkets
Drug E,Company V,Capsule,250 mg,10 ml,1624,$13764,11-09-2023,Africa,Sandra Davis,Supermarkets
Drug A,Company W,Syrup,50 mg,60,676,$35872,29-05-2024,Europe,Joyce Travis,Online Pharmacy
Drug A,Company Y,Syrup,50 mg,50 g,906,$12431,01-03-2024,North America,Susan Ali,Clinics
Drug A,Company Y,Cream,50 mg,10 ml,1870,$4688,15-03-2024,South America,Lori Bass,Pharmacy
Drug A,Company W,Capsule,100 mg/ml,50 g,1810,$27443,13-08-2023,Europe,Michael Gray,Pharmacy
Drug B,Company X,Capsule,10 mg,60,427,$8379,14-04-2024,North America,Dr. Abigail Jackson,Clinics
Drug D,Company X,Injection,50 mg,100 ml,1340,$32355,21-02-2024,North America,Rebecca Harrison,Pharmacy
Drug C,Company V,Cream,50 mg,60,1084,$40033,19-12-2023,North America,Stacey Collins,Clinics
Drug C,Company W,Capsule,500 mg,60,1441,$5001,16-02-2024,Africa,Mr. Jacob Stokes DDS,Online Pharmacy
Drug E,Company X,Cream,500 mg,100 ml,1440,$35398,28-07-2024,South America,Lindsay Hall,Pharmacy
Drug A,Company Z,Syrup,100 mg/ml,100 ml,891,$27927,12-10-2023,North America,Mary Steele,Clinics
Drug A,Company X,Cream,100 mg/ml,30,1718,$27940,06-09-2023,Africa,Scott Bowers,Clinics
Drug D,Company X,Cream,50 mg,50 g,1367,$45734,16-01-2024,South America,Gabriella West,Pharmacy
Drug A,Company Y,Injection,100 mg/ml,100 ml,1899,$19924,17-09-2023,Asia,Allison Barker,Clinics
Drug E,Company Y,Tablet,500 mg,100 ml,824,$49294,23-12-2023,North America,Jeffery Tran,Clinics
Drug A,Company W,Cream,250 mg,100 ml,1964,$33741,21-07-2024,North America,Christopher Jones,Online Pharmacy
Drug B,Company W,Tablet,50 mg,50 g,1091,$46316,21-04-2024,Asia,Annette Snyder,Clinics
Drug A,Company Z,Tablet,100 mg/ml,10 ml,247,$35441,07-10-2023,South America,Erika Reed,Online Pharmacy
Drug D,Company V,Capsule,100 mg/ml,60,1598,$4074,18-08-2023,Europe,Daniel Lee,Hospitals
Drug A,Company X,Capsule,50 mg,50 g,679,$22164,12-11-2023,Africa,Nicholas Carey,Pharmacy
Drug E,Company V,Injection,250 mg,30,1521,$35865,22-02-2024,Europe,Teresa Lewis,Clinics
Drug C,Company W,Tablet,250 mg,60,347,$25965,10-05-2024,Africa,Alyssa Craig,Clinics
Drug A,Company Y,Injection,10 mg,100 ml,740,$37678,30-06-2024,Asia,Chris Wise,Clinics
Drug B,Company V,Tablet,100 mg/ml,60,872,$10189,11-03-2024,Asia,Keith Burton,Online Pharmacy
Drug E,Company Y,Cream,10 mg,10 ml,449,$18843,24-04-2024,South America,Susan Ellison,Pharmacy
Drug B,Company Z,Syrup,500 mg,100 ml,1835,$37032,25-06-2024,South America,Margaret Duncan,Clinics
Drug B,Company Y,Cream,10 mg,30,413,$38333,13-06-2024,Europe,Jennifer Nelson,Clinics
Drug D,Company V,Syrup,500 mg,30,913,$42870,17-09-2023,North America,Donna Peters,Clinics
Drug C,Company Z,Cream,250 mg,100 ml,1075,$45857,04-03-2024,Asia,Michael Palmer,Supermarkets
Drug D,Company X,Syrup,10 mg,30,1600,$21517,22-06-2024,South America,Daniel Collins,Hospitals
Drug B,Company W,Injection,250 mg,10 ml,576,$40961,19-12-2023,Asia,Ms. Alexis Robertson,Supermarkets
Drug A,Company V,Syrup,100 mg/ml,30,1265,$32484,13-12-2023,Africa,Stephen Reed,Pharmacy
Drug A,Company V,Cream,100 mg/ml,10 ml,529,$6114,30-06-2024,Africa,Joshua Hebert,Pharmacy
Drug A,Company V,Syrup,500 mg,100 ml,424,$36660,15-11-2023,North America,Anthony King,Pharmacy
Drug A,Company Z,Injection,50 mg,60,1902,$4193,18-02-2024,Asia,Amy Bentley,Online Pharmacy
Drug A,Company W,Injection,100 mg/ml,60,1560,$33167,05-01-2024,Asia,Lori Cole,Pharmacy
Drug E,Company Z,Capsule,10 mg,60,375,$13847,11-09-2023,South America,Jesse Choi,Clinics
Drug C,Company X,Cream,10 mg,10 ml,1663,$47873,12-04-2024,North America,Vanessa Watson,Clinics
Drug D,Company W,Cream,100 mg/ml,100 ml,997,$34888,24-04-2024,Europe,Brian Cole,Online Pharmacy
Drug A,Company W,Tablet,10 mg,60,1718,$35098,09-11-2023,South America,Joshua Johnson,Pharmacy
Drug E,Company Y,Injection,250 mg,10 ml,324,$15547,14-02-2024,South America,Anne Coleman,Supermarkets
Drug A,Company W,Tablet,500 mg,60,1929,$15465,18-07-2024,Asia,Melanie Mccoy DDS,Clinics
Drug D,Company Z,Injection,100 mg/ml,10 ml,1206,$44930,04-02-2024,Africa,William Blackburn,Online Pharmacy
Drug D,Company X,Capsule,10 mg,60,1937,$16796,18-01-2024,Europe,Alyssa Harvey,Hospitals
Drug D,Company Z,Cream,50 mg,100 ml,1705,$9606,30-11-2023,Asia,Jack Carpenter,Supermarkets
Drug C,Company X,Cream,250 mg,100 ml,938,$21278,29-07-2023,South America,Robert Gordon,Pharmacy
Drug B,Company V,Tablet,50 mg,100 ml,1566,$25494,29-08-2023,South America,Dawn Bryant,Online Pharmacy
Drug D,Company X,Injection,50 mg,30,1644,$23908,26-12-2023,South America,Darren Lowe,Supermarkets
Drug B,Company V,Injection,10 mg,30,765,$37749,13-11-2023,South America,Anna Page,Pharmacy
Drug D,Company Z,Syrup,100 mg/ml,50 g,946,$40826,05-01-2024,South America,Eric Wolf,Clinics
Drug D,Company V,Syrup,250 mg,60,399,$2187,15-03-2024,Asia,Leslie Chapman,Clinics
Drug A,Company W,Cream,250 mg,60,1193,$37828,29-12-2023,Africa,Margaret Davies,Pharmacy
Drug D,Company Y,Capsule,10 mg,100 ml,187,$42709,05-04-2024,North America,Nancy Woods,Hospitals
Drug B,Company Y,Syrup,10 mg,10 ml,1360,$35945,08-09-2023,Africa,Samuel Peterson,Pharmacy
Drug B,Company W,Injection,250 mg,60,872,$22950,11-02-2024,Europe,Donald Kennedy,Supermarkets
Drug B,Company X,Tablet,50 mg,100 ml,537,$44378,21-09-2023,Africa,Olivia Smith,Online Pharmacy
Drug E,Company Y,Cream,100 mg/ml,50 g,696,$49562,20-02-2024,South America,Gloria Curry,Online Pharmacy
Drug A,Company Y,Cream,50 mg,60,357,$35849,06-05-2024,North America,Rachel Donaldson,Online Pharmacy
Drug B,Company V,Syrup,250 mg,100 ml,1179,$43406,25-12-2023,Africa,Mark Johnston,Hospitals
Drug B,Company W,Capsule,100 mg/ml,10 ml,1352,$41492,22-03-2024,South America,Danny Porter,Hospitals
Drug B,Company Z,Tablet,250 mg,100 ml,1691,$17378,27-05-2024,South America,Tracy Russell,Clinics
Drug E,Company W,Capsule,50 mg,10 ml,680,$37383,22-09-2023,North America,Matthew Medina,Supermarkets
Drug E,Company Y,Syrup,50 mg,50 g,971,$22075,18-11-2023,Europe,Erin Molina,Pharmacy
Drug E,Company Y,Tablet,50 mg,50 g,1321,$26875,28-04-2024,South America,Ronald Owens,Clinics
Drug D,Company Z,Capsule,500 mg,100 ml,1134,$12807,27-09-2023,North America,Lori Russo,Pharmacy
Drug B,Company W,Injection,500 mg,100 ml,163,$36531,13-04-2024,North America,Katherine Doyle,Online Pharmacy
Drug C,Company V,Injection,250 mg,10 ml,641,$19362,24-08-2023,Asia,Matthew Thompson,Pharmacy
Drug C,Company X,Injection,100 mg/ml,100 ml,1114,$46343,29-02-2024,North America,Travis Goodman,Hospitals
Drug A,Company X,Tablet,500 mg,100 ml,1128,$25909,23-08-2023,North America,Emily Alexander,Clinics
Drug B,Company X,Syrup,100 mg/ml,100 ml,455,$19258,24-12-2023,North America,Susan Arroyo,Clinics
Drug C,Company Z,Capsule,50 mg,10 ml,1660,$1292,25-12-2023,North America,Douglas Holloway,Clinics
Drug C,Company X,Tablet,100 mg/ml,50 g,582,$6514,06-06-2024,South America,Christina Mata,Supermarkets
Drug A,Company W,Injection,100 mg/ml,60,716,$7865,13-10-2023,North America,Christopher Miranda,Hospitals
Drug E,Company X,Syrup,500 mg,50 g,200,$15045,20-06-2024,Europe,Ms. Olivia Murray,Supermarkets
Drug E,Company Y,Capsule,500 mg,30,151,$13928,15-01-2024,Europe,Kimberly Miller,Pharmacy
Drug D,Company Z,Injection,500 mg,60,1084,$10084,26-10-2023,North America,Thomas Tran,Online Pharmacy
Drug C,Company V,Injection,250 mg,60,369,$27023,05-07-2024,South America,Holly Jones,Clinics
Drug C,Company Y,Tablet,500 mg,30,1689,$42571,02-09-2023,North America,Joshua Jackson,Online Pharmacy
Drug D,Company Z,Capsule,250 mg,30,1435,$33459,13-11-2023,North America,Sara Sullivan,Hospitals
Drug E,Company Z,Injection,50 mg,50 g,433,$5852,19-11-2023,Asia,Jeffrey Bruce,Supermarkets
Drug A,Company Z,Cream,500 mg,50 g,425,$30089,25-02-2024,South America,Mark Newman,Pharmacy
Drug C,Company V,Tablet,50 mg,60,1331,$23249,18-07-2024,Europe,Michael Gonzalez,Clinics
Drug D,Company Y,Tablet,500 mg,50 g,700,$14747,21-09-2023,Asia,John Sloan,Online Pharmacy
Drug A,Company Z,Capsule,250 mg,60,1290,$26612,04-08-2023,Africa,Mark Phillips,Hospitals
Drug C,Company X,Tablet,10 mg,30,1697,$22505,15-12-2023,Asia,Kristina Shepard,Clinics
Drug B,Company Y,Capsule,50 mg,60,1435,$12698,28-01-2024,Asia,Paul Garcia,Supermarkets
Drug C,Company Y,Tablet,250 mg,50 g,676,$37974,13-03-2024,Asia,Colleen Proctor,Supermarkets
Drug E,Company V,Tablet,500 mg,10 ml,1529,$37893,26-05-2024,Europe,Frank Lara,Clinics
Drug C,Company V,Capsule,10 mg,10 ml,1904,$47774,13-06-2024,Africa,Richard Wilson,Pharmacy
Drug D,Company Y,Injection,100 mg/ml,60,274,$36990,18-02-2024,Europe,Christopher Sutton,Supermarkets
Drug B,Company Z,Cream,50 mg,10 ml,974,$13263,12-07-2024,Asia,Andrew Simpson,Clinics
Drug C,Company Y,Syrup,100 mg/ml,30,1169,$30037,17-04-2024,Asia,Heather Butler,Online Pharmacy
Drug C,Company Y,Capsule,500 mg,10 ml,1922,$30322,23-10-2023,Asia,Suzanne Hopkins DVM,Supermarkets
Drug B,Company V,Syrup,100 mg/ml,60,1656,$2052,19-07-2024,Europe,Spencer Bird,Hospitals
Drug D,Company V,Tablet,500 mg,30,999,$1790,11-06-2024,Europe,John Weaver,Pharmacy
Drug D,Company Y,Cream,500 mg,10 ml,1027,$5568,17-03-2024,Europe,Anthony Mclean MD,Online Pharmacy
Drug C,Company Z,Tablet,250 mg,100 ml,202,$35739,19-03-2024,Asia,Wendy Shepherd,Supermarkets
Drug C,Company Y,Capsule,100 mg/ml,100 ml,868,$39318,05-03-2024,North America,Erica Patterson,Supermarkets
Drug C,Company Z,Cream,100 mg/ml,30,783,$7230,07-08-2023,North America,Justin Li,Pharmacy
Drug A,Company Y,Tablet,100 mg/ml,60,624,$39173,27-03-2024,Europe,George Reyes,Pharmacy
Drug A,Company Z,Tablet,50 mg,30,144,$31678,02-02-2024,South America,Stephen Day DDS,Online Pharmacy
Drug B,Company X,Injection,50 mg,10 ml,1705,$3950,02-02-2024,North America,James Roberson,Pharmacy
Drug A,Company Y,Injection,50 mg,100 ml,1435,$11503,29-01-2024,North America,Tanya Thompson,Pharmacy
Drug D,Company Y,Tablet,50 mg,50 g,1882,$23935,16-10-2023,North America,Allison Bennett,Clinics
Drug C,Company W,Injection,100 mg/ml,100 ml,1018,$42507,13-07-2024,Europe,Adam Jones,Hospitals
Drug E,Company V,Capsule,500 mg,100 ml,1895,$40085,19-10-2023,North America,Monique Morton,Hospitals
Drug C,Company X,Cream,250 mg,50 g,634,$27518,31-08-2023,South America,Audrey Neal,Pharmacy
Drug B,Company Z,Capsule,100 mg/ml,50 g,598,$44610,01-08-2023,North America,Scott Williams,Supermarkets
Drug A,Company Y,Injection,50 mg,60,1619,$35793,15-07-2024,North America,Darryl Rivera,Online Pharmacy
Drug B,Company X,Syrup,100 mg/ml,100 ml,359,$36979,06-12-2023,North America,Molly Adams,Clinics
Drug E,Company Y,Cream,50 mg,100 ml,1502,$12221,24-11-2023,Europe,Michele Vance,Clinics
Drug C,Company W,Tablet,250 mg,30,1552,$11238,26-04-2024,Asia,John Anthony,Online Pharmacy
Drug C,Company W,Capsule,50 mg,10 ml,1152,$39119,26-04-2024,North America,Joseph Smith,Clinics
Drug A,Company X,Syrup,100 mg/ml,60,996,$46219,06-08-2023,Africa,Mary Hanson,Pharmacy
